Code,Name,Message
E0001,NoCompiler,Unable to locate IronPLC compiler
E0002,ViewerCompilerNotFound,IronPLC compiler not found when opening .iplc file
E0003,DisassemblyFailed,Failed to disassemble .iplc bytecode file
E0004,DebugNoProgram,No program specified to debug
E0005,DebugProgramNotDebuggable,Program is not a Structured Text source or compiled .iplc container
E0006,CompileFailed,Failed to compile the program
E0007,DebugServerNotFound,IronPLC debug server (ironplcvmd) not found
E0008,VmNotFound,IronPLC virtual machine (ironplcvm) not found next to the compiler
E0009,MapUidFailed,Failed to record the variable ID mapping
E0010,ConnectionProfileInvalid,Connection profile is invalid
E0011,ConnectionAddressInvalid,Connection address is invalid
E0012,ConnectionPortInvalid,Connection port is invalid
E0013,ConnectFailed,Failed to connect to the device
E0014,ConnectionLost,Connection to the device was lost
E0015,StaleBaseline,The device no longer matches the last verified project baseline
